Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2015,11.1,35,8.22,0,0,0,0,20,0,0,0,0,0,0,0,4776
2015,3.1,33,15.1,0,0,0,0,21,0,0,0,0,0,0,0,8688
2015,9.16,34,0,0,0,0,0,20,0,0,0,0,0,0,0,9743
2015,9.64,40,0,0,0,0,0,22,0,0,0,0,0,0,0,9700
2015,4.96,40,8.2,0,0,0,0,21,0,0,0,0,0,0,0,10053
2015,10.36,40,8.14,0,0,0,0,20,0,0,0,0,0,0,0,9468
2015,0,41,8.02,0,0,0,0,21,0,0,0,0,0,0,0,9334
2015,9.74,33,0,0,0,0,0,17.6,0,0,0,0,0,0,0,9163
2015,11.6,40,0,0,0,0,0,4,0,0,0,0,0,0,0,9694
2015,6.32,40,0,0,0,0,0,3,0,0,0,0,0,0,0,7832
2015,8.42,40,7.02,0,0,0,0,9.7,0,0,0,0,0,0,0,11012
2015,8.88,40,8.16,0,0,0,0,12.3,0,0,0,0,0,0,0,9853
2015,9.26,40,0,0,0,0,0,11.4,0,0,0,0,0,0,0,9136
2015,12.74,40,8.38,0,0,0,0,17.6,0,0,0,0,0,0,0,9105
2015,3.28,48,8.06,0,0,0,0,4.4,0,0,0,0,0,0,0,9220
2015,7.38,45,8.34,0,0,0,0,11.4,0,0,0,0,0,0,0,10835
2015,5.12,42.5,16.54,0,0,0,0,9.7,0,0,0,0,0,0,0,11518
2015,7.88,45,7.92,0,0,0,0,7.9,0,0,0,0,0,0,0,10740
2015,4.4,45,8.08,0,0,0,0,8.8,0,0,0,0,0,0,0,9350
2015,6.56,45,15.68,0,0,0,0,15,0,0,0,0,0,0,0,11559
2015,4.46,45,8.3,0,0,0,0,10,0,0,0,0,0,0,0,9673
2015,0,45,8.28,0,0,0,0,8,0,0,0,0,0,0,0,10084
2015,7.18,45,8.2,0,0,0,0,8,0,0,0,0,0,0,0,10554
2015,11.08,22.7,0,0,0,0,0,7,0,0,0,0,0,0,0,8039
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
